ลำดับ,ATC,หมวดหมู่,ชื่อที่สั่ง,ชื่อยาในฐานข้อมูล,ความแรง,หน่วย,จำนวน,แหล่ง,ความมั่นใจ,สถานะ,หมายเหตุ
1,,อื่นๆ,Antazallerge 10ml,ANTAZALLERGE R EYE DROPS 10ml,10ml,ก.1ขวด,1,SP,85%,✅,
2,A01,ยาบําบัดอาการในชอ,m16 ที่อุดฟัน,่ งปาก ลําคอ M16 PATAR 75 FOR TOOTHACHE ตราปื น 3cc มีโปซอเยอะื,,ก.1ขวด,1,SP,92%,✅,
3,A11,อาหารเสริม / สมุนไพรสตรี,ยาสมุนไพรคุณส้มฤทธิ์รากสามสิบ 60 แคปซูล,รากสามสิบ ตราคุณสัมฤทธิ์ (Samsib) 60 capsules,Asparagus racemosus extract,กระปุก,1,🌐 verified,88%,✅,อาหารเสริมสมุนไพรสตรี ปรับสมดุลฮอร์โมน ลดปวดประจำเดือน ลดตกขาว
4,D07,ยาสเตียรอยด์ใชในโรคผิวหนั ง,ทีวีโลชั่น 60 mi,T.V. LONE LOTION 60ml,60ml,ก.1ขวด,1,SP,93%,✅,
5,D07,ยาสเตียรอยด์ใชในโรคผิวหนั ง,BETASALIC  Ointmenit15g,้ BETOSALIC OINTMENT 5g,5g,ก.1หลอด,1,SP,84%,✅,
6,D08,ยาแอนติเซพติค / แอลกอฮอล์,แอลกอฮอล์ศิริบัญชา 70% 60 cc,แอลกอฮอล์ศิริบัญชา 70% 60ml,Ethyl Alcohol 70%,ขวด,1,🌐 verified,91%,✅,ขวดเล็ก 60ml มีจริง — SP มีแค่ 180ml และ 1000ml สั่งออนไลน์ได้ ไม่ค่อยมีชั้นวางร้านยา
7,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมดิออร์รา28เม็ด,Diora 28 ดิออร์รา 28เม็ด,Ethinyl estradiol 0.03mg + Levonorgestrel 0.15mg,ก.1แผง,1,🌐 verified,97%,✅,ชื่อที่ถูกต้องคือ Diora (ไม่ใช่ Diorra) มีทั้ง Diora 21 (21เม็ด) และ Diora 28 (28เม็ด)
8,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมเมอซีลอน28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,82%,✅,SP มี MARVELON 28s บ ขาด — ตรวจสอบสต็อกก่อนสั่ง
9,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมมาร์นอน28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,88%,✅,SP มี MARVELON 28s บ ขาด — ตรวจสอบสต็อกก่อนสั่ง
10,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมมาร์วีลอน28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,98%,✅,SP มี MARVELON 28s บ ขาด — ตรวจสอบสต็อกก่อนสั่ง
11,P01,ยารักษาโรคจากโปรตัวซวั,METRONIDAZOLE400mg50x10s,METRONIDAZOLE 400 50x10s,,ก.50แผง,2,SP,92%,✅,
12,S01,ยารักษาโรคตา,น้ำตาเทียมญี่ปุ่น,Rohto Vita 40 ยาหยอดตา 12ml,Vitamin E + B6 + Potassium + Sodium chondroitin sulfate,ก.1ขวด,1,🌐 verified,96%,✅,นำเข้าจากญี่ปุ่น ซื้อออนไลน์หลัก ไม่ตามร้านยาทั่วไป
13,S02,ยารักษาโรคหู,DEWAX EAR DROPS15ml,DEWAX EAR DROPS 15ml,15ml,ก.1ขวด,1,SP,97%,✅,
14,S03,ยารักษาทังโรคตา/หู,Dex Oph Eye Ear Drop4ml,DEXOPH EYE - EAR DROPS 4ml <36,4ml,ก.1ขวด,1,SP,86%,✅,
15,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมพรีม28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
16,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมพรีม21เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,70%,⚠️ ต้องยืนยัน,
17,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมแอนนี่ลินน์28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,64%,⚠️ ต้องยืนยัน,
18,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมไดแอน 21 เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
19,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมมินนี28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,73%,⚠️ ต้องยืนยัน,
20,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมมินนี21เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,68%,⚠️ ต้องยืนยัน,
21,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมแอนนา 28 เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
22,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมเจนนี่28เม็ด,Diora 28 ดิออร์รา 28เม็ด,Ethinyl estradiol 0.03mg + Levonorgestrel 0.15mg,ก.1แผง,1,🌐 verified,68%,⚠️ ต้องยืนยัน,
23,G03,ฮอร์โมนเพศ,ยาคุมฉุกเฉิน 1 เม็ด,ยาคุมฉุกเฉิน POSTINOR 1x2s,,ก.1แผง,1,SP,75%,⚠️ ต้องยืนยัน,
24,M01,ยาต้านการอักเสบ / ยาแก้ปวดข้อ,Difelene50mg10เม็ด,Diclofenac sodium 50mg (NEOFENAC),50mg,แผง,1,🌐 verified,77%,⚠️ ต้องยืนยัน,
25,,อื่นๆ,CAPIROX-20 10Capsules,CAPIROX-20mg 1x10s,20mg,ก.1แผง,1,SP,75%,⚠️ ต้องยืนยัน,
26,N02,ยาแก ้ปวด,SIDEGRA50mg4s,SIAGRAN 50mg 1x4s,50mg,ก.1แผง,1,SP,73%,⚠️ ต้องยืนยัน,
27,J02,ยาต ้านเชอรา,SIDEGRA100mg4s,ITRA 100mg 25x4s,100mg,ก.25แผง,1,SP,67%,⚠️ ต้องยืนยัน,
28,,อื่นๆ,OPLUS SYRUP120ml,BRONAL SYRUP 120ml,120ml,ก.1ขวด,1,SP,76%,⚠️ ต้องยืนยัน,
29,,อื่นๆ,Mefamed500mg25x10เม็ด,MEFAMED ้อ 500mg 25x10s,500mg,ก.25แผง,1,SP,77%,⚠️ ต้องยืนยัน,
30,G03,ฮอร์โมนเพศ,NORCA NORETHISTEROUE. Tablets BP5mg10x10เม็ด,NORCA 10x10s,,ก.10แผง,1,SP,75%,⚠️ ต้องยืนยัน,
31,D07,ยาสเตียรอยด์ใชในโรคผิ,DERMAHEUครีม15g,วหนั ง DERMAHEU CREAM 15g,15g,ก.1หลอด,1,SP,78%,⚠️ ต้องยืนยัน,
32,D07,ยาสเตียรอยด์ใชในโรคผิ้,DERMAHEUครีม25g,วหนั ง DERMAHEU CREAM 25g,25g,ก.1หลอด,1,SP,78%,⚠️ ต้องยืนยัน,
33,M02,ยาทาภายนอก / บรรเทาปวด,เจลว่านหางจระเข้ 60 กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
34,,อื่นๆ,ยาสตรีเพ็ญภาค 300cc,ผลิตภัณฑ์สมุนไพร ยาสตรีเพ็ญภาค 180ml,180ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
